perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"MK-0752 | 1000.0",False,False,False,16291.2,89319.1
"MK-0752 | 10000.0",False,False,False,7234.9,68531.7
"MK-5108 (VX-689) | 10.0",False,False,False,-7393.79,28881
"MK-5108 (VX-689) | 100.0",False,False,False,-10666,19777.1
"MK-5108 (VX-689) | 1000.0",True,False,False,38067.8,154742
"MK-5108 (VX-689) | 10000.0",False,False,False,17228.6,102041
"MLN8054 | 10.0",False,False,False,-12831.8,18955.5
"MLN8054 | 100.0",False,False,False,362.315,49300.3
"MLN8054 | 1000.0",False,False,False,-2304.62,39357.3
"MLN8054 | 10000.0",False,False,False,15480.2,104529
"Maraviroc | 10.0",False,False,False,35830.2,156946
"Maraviroc | 100.0",False,False,False,-7629.92,28374.2
"Maraviroc | 1000.0",False,False,False,7198.04,71839
"Maraviroc | 10000.0",False,False,False,5416.78,74533.9
"Meprednisone | 10.0",False,False,False,25518.9,84254.9
"Meprednisone | 100.0",False,False,False,3224.89,58466
"Meprednisone | 1000.0",False,False,False,-6104.92,62742.4
"Meprednisone | 10000.0",False,False,False,11315.6,56359.4
"Mercaptopurine (6-MP) | 10.0",False,False,False,-8021.18,19766.5
"Mercaptopurine (6-MP) | 100.0",False,False,False,-7260.86,34439.3
"Mercaptopurine (6-MP) | 1000.0",False,False,False,-3288.4,46475.7
"Mesna  | 10.0",False,False,False,-9633.63,22432.4
"Mesna  | 100.0",False,False,False,2216.12,90883.8
"Mesna  | 1000.0",False,False,False,1360.55,40047.7
"Mesna  | 10000.0",False,False,False,18446.1,73009.7
"Mocetinostat (MGCD0103) | 10.0",False,False,False,-5054.87,27871.2
"Mocetinostat (MGCD0103) | 100.0",False,False,False,-11995.5,20342.3
"Mocetinostat (MGCD0103) | 1000.0",False,False,False,-11758.4,20011.4
