source,gene,depth_m,n_var,eta2,rho2,rho2_nn_median,rho2_nn_median_lo,rho2_nn_median_hi,rho2_nn_geomean,frac_above_noise,nn_nonpositive,ceiling_pds,p_correct,p_winner,eff_rank,rho2_target,rank,hetero
dialled,TP53,25,45,37.625,0.60516,0.01092,0.00175,0.02985,,0.6111,16,0.6219,0.42,0.768,2.13,0.6,5.0,2.0
dialled,TP53,25,45,37.625,2.01529,0.03113,0.00973,0.04538,,0.6489,10,0.6724,0.784,0.908,2.13,2.0,5.0,2.0
dialled,TP53,25,45,37.625,6.04192,0.03632,0.02323,0.09347,,0.7022,8,0.7168,0.764,0.764,2.13,6.0,5.0,2.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,3.0,0.0
dialled,TP53,25,45,37.625,0.04924,0.02929,0.02333,0.04071,,0.6378,8,0.6215,0.994,0.994,2.91,0.05,3.0,0.0
dialled,TP53,25,45,37.625,0.19971,0.0642,0.04773,0.07133,,0.7244,2,0.7932,1.0,1.0,2.91,0.2,3.0,0.0
dialled,TP53,25,45,37.625,0.60147,0.0919,0.08713,0.10831,,0.7533,1,0.8974,1.0,1.0,2.91,0.6,3.0,0.0
dialled,TP53,25,45,37.625,2.00855,0.20321,0.183,0.21852,0.197816,0.8978,0,0.9439,0.856,0.956,2.91,2.0,3.0,0.0
dialled,TP53,25,45,37.625,6.03026,0.51547,0.46837,0.58366,0.518543,0.9578,0,0.9698,0.516,0.768,2.91,6.0,3.0,0.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,3.0,1.0
dialled,TP53,25,45,37.625,0.0504,0.01699,0.00577,0.02839,,0.5844,11,0.5821,0.498,0.572,2.32,0.05,3.0,1.0
dialled,TP53,25,45,37.625,0.20202,0.03838,0.02206,0.05624,,0.68,6,0.6653,0.874,0.89,2.32,0.2,3.0,1.0
dialled,TP53,25,45,37.625,0.60547,0.05214,0.03207,0.07336,,0.7311,5,0.7456,0.994,0.994,2.32,0.6,3.0,1.0
dialled,TP53,25,45,37.625,2.01586,0.11297,0.0693,0.14945,,0.8,2,0.8198,0.984,1.0,2.32,2.0,3.0,1.0
dialled,TP53,25,45,37.625,6.04292,0.20822,0.16496,0.25014,,0.8867,1,0.8621,0.872,0.968,2.32,6.0,3.0,1.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,3.0,2.0
dialled,TP53,25,45,37.625,0.05086,0.00858,0.00052,0.01596,,0.5511,16,0.5457,0.04,0.258,1.69,0.05,3.0,2.0
dialled,TP53,25,45,37.625,0.20295,0.006,-0.0011,0.02031,,0.5622,17,0.5759,0.12,0.686,1.69,0.2,3.0,2.0
dialled,TP53,25,45,37.625,0.60707,0.01546,0.00501,0.03194,,0.6022,10,0.6144,0.542,0.71,1.69,0.6,3.0,2.0
dialled,TP53,25,45,37.625,2.01878,0.03139,0.00585,0.05442,,0.6267,12,0.6583,0.91,0.956,1.69,2.0,3.0,2.0
dialled,TP53,25,45,37.625,6.04798,0.04693,0.02468,0.07246,,0.7111,6,0.7035,0.76,0.82,1.69,6.0,3.0,2.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,2.0,0.0
dialled,TP53,25,45,37.625,0.0499,0.0281,0.01429,0.03604,,0.5822,12,0.6103,0.922,0.992,1.97,0.05,2.0,0.0
dialled,TP53,25,45,37.625,0.20103,0.03786,0.02621,0.05174,,0.6556,3,0.7532,1.0,1.0,1.97,0.2,2.0,0.0
dialled,TP53,25,45,37.625,0.60376,0.06888,0.05575,0.07695,0.05786,0.7089,0,0.8389,0.99,0.99,1.97,0.6,2.0,0.0
dialled,TP53,25,45,37.625,2.01273,0.10984,0.0953,0.12619,0.102276,0.7556,0,0.8787,0.566,0.834,1.97,2.0,2.0,0.0
dialled,TP53,25,45,37.625,6.03749,0.24358,0.22266,0.27307,0.231581,0.8689,0,0.909,0.47,0.53,1.97,6.0,2.0,0.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,2.0,1.0
dialled,TP53,25,45,37.625,0.05041,0.01673,0.01106,0.02727,,0.5622,11,0.5727,0.312,0.49,1.66,0.05,2.0,1.0
dialled,TP53,25,45,37.625,0.20206,0.03244,0.01811,0.04516,,0.6489,6,0.6471,0.594,0.966,1.66,0.2,2.0,1.0
dialled,TP53,25,45,37.625,0.60554,0.049,0.03684,0.0804,,0.7222,3,0.723,0.99,0.99,1.66,0.6,2.0,1.0
dialled,TP53,25,45,37.625,2.01598,0.06648,0.04505,0.1061,,0.72,3,0.7825,0.86,0.908,1.66,2.0,2.0,1.0
dialled,TP53,25,45,37.625,6.04313,0.11982,0.06775,0.16458,0.143881,0.7911,0,0.8235,0.446,0.586,1.66,6.0,2.0,1.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,2.0,2.0
dialled,TP53,25,45,37.625,0.05109,0.00882,-0.00114,0.01818,,0.5489,17,0.5421,0.156,0.24,1.32,0.05,2.0,2.0
dialled,TP53,25,45,37.625,0.20342,0.00975,0.00226,0.02089,,0.5822,15,0.5749,0.406,0.672,1.32,0.2,2.0,2.0
dialled,TP53,25,45,37.625,0.60789,0.01625,0.00736,0.02641,,0.58,12,0.6037,0.452,0.676,1.32,0.6,2.0,2.0
dialled,TP53,25,45,37.625,2.02027,0.02728,0.01503,0.04265,,0.62,11,0.6469,0.712,0.846,1.32,2.0,2.0,2.0
dialled,TP53,25,45,37.625,6.05055,0.03199,0.02351,0.05483,,0.6911,7,0.6861,0.272,0.494,1.32,6.0,2.0,2.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,1.0,0.0
