perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Fluorouracil (5-Fluoracil, 5-FU) | 1000.0",False,False,False,6244.08,72179.2
"Fluorouracil (5-Fluoracil, 5-FU) | 10000.0",False,False,False,45311.8,186330
"Fulvestrant | 10.0",False,False,False,3355.23,61057.6
"Fulvestrant | 100.0",False,False,False,7658.37,95909.3
"Fulvestrant | 1000.0",False,False,False,2102.39,29334
"Fulvestrant | 10000.0",False,False,False,-3889.89,31593.2
"G007-LK | 10.0",False,False,False,-1303.14,30687
"G007-LK | 100.0",False,False,False,-10351.7,25525.8
"G007-LK | 1000.0",False,False,False,-706.42,25247.9
"G007-LK | 10000.0",False,False,False,-1294,43349.6
"GSK J1 | 10.0",False,False,False,4691.68,67648.1
"GSK J1 | 100.0",False,False,False,971.698,57856.8
"GSK J1 | 1000.0",False,False,False,1805.77,95110.1
"GSK J1 | 10000.0",False,False,False,-3785.72,38419.4
"GSK-LSD1 2HCl | 10.0",False,False,False,-3658.76,20834.2
"GSK-LSD1 2HCl | 100.0",False,False,False,-5492.21,32330.4
"GSK-LSD1 2HCl | 1000.0",False,False,False,-831.22,48885.4
"GSK-LSD1 2HCl | 10000.0",False,False,False,-364.765,57950.5
"GSK1070916 | 10.0",False,False,False,21194.7,107219
"GSK1070916 | 100.0",False,False,False,102709,307126
"GSK1070916 | 1000.0",False,False,False,35213.6,112140
"GSK1070916 | 10000.0",False,False,False,96301.7,141410
"Gandotinib (LY2784544) | 10.0",False,False,False,4690.08,75164.9
"Gandotinib (LY2784544) | 100.0",False,False,False,12825.4,86274.1
"Gandotinib (LY2784544) | 1000.0",False,False,False,7244.57,56230.5
"Gandotinib (LY2784544) | 10000.0",False,False,False,8196.11,43729.4
"Givinostat (ITF2357) | 10.0",False,False,False,-4973.91,68450
"Givinostat (ITF2357) | 100.0",False,False,False,-8911.19,18979.4
"Givinostat (ITF2357) | 1000.0",False,False,False,-3440.71,47770.5
"Givinostat (ITF2357) | 10000.0",True,False,False,-9317.09,32940.1
"Glesatinib?(MGCD265) | 10.0",False,False,False,28156.1,140088
"Glesatinib?(MGCD265) | 100.0",False,False,False,-350.692,51901.8
"Glesatinib?(MGCD265) | 1000.0",False,False,False,-5334.86,48665.6
"Glesatinib?(MGCD265) | 10000.0",False,False,False,46807.4,182441
"Hesperadin | 10.0",False,False,False,11555.5,98811
"Hesperadin | 100.0",False,False,False,1887.47,45971.8
"Hesperadin | 1000.0",False,False,False,945.471,54036.6
"Hesperadin | 10000.0",False,False,False,24432.9,83498
"INO-1001 (3-Aminobenzamide) | 10.0",False,False,False,-3083.56,34599.5
"INO-1001 (3-Aminobenzamide) | 100.0",False,False,False,-7538.06,18351.2
"INO-1001 (3-Aminobenzamide) | 1000.0",False,False,False,3744.27,63152.3
"INO-1001 (3-Aminobenzamide) | 10000.0",False,False,False,2888.18,113425
"IOX2 | 10.0",False,False,False,-3043.67,35792.4
"IOX2 | 100.0",False,False,False,-7363.8,20871.5
"IOX2 | 1000.0",False,False,False,1795.01,50678.5
"IOX2 | 10000.0",False,False,False,-7684.66,23718.6
"ITSA-1 (ITSA1) | 10.0",False,False,False,1062.53,50829.1
"ITSA-1 (ITSA1) | 100.0",False,False,False,-8217.84,27766.1
"ITSA-1 (ITSA1) | 1000.0",False,False,False,-3196.24,44729.6
"ITSA-1 (ITSA1) | 10000.0",False,False,False,-7883.52,36516.3
