perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"PD98059 | 100.0",False,False,False,-583.62,9369.64
"PD98059 | 1000.0",False,False,False,2007.72,8231.06
"PD98059 | 10000.0",False,False,False,1235.83,4646.39
"PF-3845 | 10.0",False,False,False,566.714,6405.27
"PF-3845 | 100.0",False,False,False,973.093,11806.6
"PF-3845 | 1000.0",False,False,False,-1419.88,2264.66
"PF-3845 | 10000.0",False,False,False,-682.434,8418.59
"PF-573228 | 100.0",False,False,False,-1336.48,4655.03
"PF-573228 | 1000.0",False,False,False,-493.463,6369.45
"PFI-1 (PF-6405761) | 10.0",False,False,False,-523.074,8180.01
"PJ34 | 10.0",False,False,False,1116.11,5930.47
"PJ34 | 100.0",False,False,False,160.646,13300.4
"PJ34 | 1000.0",False,False,False,-1230.5,4832.6
"PJ34 | 10000.0",False,False,False,-296.03,2306.67
"Panobinostat (LBH589) | 10.0",False,False,False,-900.129,6380.29
"Pelitinib (EKB-569) | 10.0",False,False,False,1825.83,12428.1
"Pelitinib (EKB-569) | 100.0",False,False,False,1132.44,8074.52
"Pelitinib (EKB-569) | 1000.0",True,False,False,357.836,7748.91
"Pirarubicin | 10.0",False,False,False,-1664.33,2729.07
"Pirarubicin | 100.0",False,False,False,-94.4256,5222.02
"Pracinostat (SB939) | 10.0",False,False,False,-910.879,5892.12
"Pracinostat (SB939) | 1000.0",False,False,False,314.935,15580.6
"Prednisone  | 10.0",False,False,False,589.923,11886.3
"Prednisone  | 100.0",False,False,False,-30.3448,7491.94
"Prednisone  | 1000.0",False,False,False,-2227.4,1850.48
"Prednisone  | 10000.0",False,False,False,1007,7773.01
"Quercetin | 10.0",False,False,False,1680.38,7519.58
"Quercetin | 100.0",True,False,False,-1299.19,5701.26
"Quercetin | 1000.0",False,False,False,46.9686,7400.32
"Quercetin | 10000.0",False,False,False,5228.78,17860.3
"RG108 | 10.0",False,False,False,2174.1,15290.1
"RG108 | 100.0",True,False,False,-533.051,5652.61
"RG108 | 1000.0",True,False,False,-1291.33,3762.11
"RG108 | 10000.0",False,False,False,-1623.5,2547.73
"Raltitrexed | 10.0",False,False,False,5140.38,15149.7
"Raltitrexed | 100.0",False,False,False,-333.426,5859.74
"Raltitrexed | 10000.0",False,False,False,3448.1,11119
"Ramelteon | 10.0",False,False,False,-236.438,5022.31
"Ramelteon | 100.0",False,False,False,14.5583,9079.41
"Ramelteon | 1000.0",False,False,False,196.619,8839.26
"Ramelteon | 10000.0",False,False,False,1317.04,8920.72
"Regorafenib (BAY 73-4506) | 10.0",False,False,False,3088.23,11844.5
"Regorafenib (BAY 73-4506) | 100.0",False,False,False,-1317.78,2634.01
"Regorafenib (BAY 73-4506) | 1000.0",False,False,False,-710.389,5927.68
"Resminostat | 10.0",False,False,False,1339.76,5961.38
"Resminostat | 100.0",False,False,False,-5.46163,6146.8
"Resminostat | 1000.0",True,False,False,10145.6,26091.3
"Resveratrol | 10.0",False,False,False,284.757,7822.63
"Rigosertib (ON-01910) | 10.0",False,False,False,802.202,10357.1
"Rigosertib (ON-01910) | 100.0",False,False,False,3782.25,10414
"Roscovitine (Seliciclib,CYC202) | 10.0",False,False,False,-110.807,5852.42
"Roscovitine (Seliciclib,CYC202) | 100.0",False,False,False,-670.883,4934.21
"Roscovitine (Seliciclib,CYC202) | 1000.0",False,False,False,4424.52,19287.9
"Roscovitine (Seliciclib,CYC202) | 10000.0",False,False,False,-461.928,12704
"Roxadustat (FG-4592) | 100.0",False,False,False,1769.3,8996.61
"Roxadustat (FG-4592) | 1000.0",False,False,False,-257.874,6778.36
"Ruxolitinib (INCB018424) | 10.0",False,False,False,789.106,9411.78
"Ruxolitinib (INCB018424) | 1000.0",False,False,False,308.138,5565.99
"Ruxolitinib (INCB018424) | 10000.0",False,False,False,4170.76,9762.46
"S-Ruxolitinib (INCB018424) | 10.0",False,False,False,1075.18,13333.9
"S-Ruxolitinib (INCB018424) | 100.0",False,False,False,-965.474,5661.43
"S-Ruxolitinib (INCB018424) | 1000.0",False,False,False,3102.15,18198
"S-Ruxolitinib (INCB018424) | 10000.0",False,False,False,12968.1,30662.1
"S3I-201 | 10.0",False,False,False,1596.87,9777.84
"S3I-201 | 100.0",False,False,False,-419.383,8077.61
"S3I-201 | 1000.0",True,False,False,-1106.82,4301.92
"S3I-201 | 10000.0",False,False,False,721.296,8659.94
"SB431542 | 10.0",False,False,False,-364.965,8392.27
"SB431542 | 100.0",False,False,False,-675.569,4410.85
"SB431542 | 1000.0",False,False,False,2066.31,16184.9
"SB431542 | 10000.0",False,False,False,226.296,9042.06
"SGI-1776 free base | 10.0",False,False,False,-1044.8,5198.17
"SGI-1776 free base | 100.0",False,False,False,615.385,7634.4
"SGI-1776 free base | 1000.0",False,False,False,1126.25,11251.2
"SL-327 | 10.0",False,False,False,-456.662,6319.63
"SL-327 | 10000.0",False,False,False,-231.138,6381.68
"SRT1720 HCl | 10.0",False,False,False,-1370.75,3175.35
"SRT1720 HCl | 100.0",False,False,False,-295.059,5858.58
"SRT1720 HCl | 1000.0",False,False,False,-618.555,7632.71
"SRT1720 HCl | 10000.0",False,False,False,-1547.04,3466.38
"SRT2104 (GSK2245840) | 10.0",False,False,False,356.937,8719.87
"SRT2104 (GSK2245840) | 100.0",False,False,False,-233.316,8587.96
"SRT2104 (GSK2245840) | 1000.0",False,False,False,1194.63,11831
"SRT3025 HCl | 100.0",False,False,False,-860.808,5251.05
"Selisistat (EX 527) | 10.0",False,False,False,-1099.48,5765.15
"Selisistat (EX 527) | 1000.0",False,False,False,-1123,4205.27
"Selisistat (EX 527) | 10000.0",False,False,False,2589.99,23452.8
"Sirtinol | 10.0",False,False,False,444.565,6688.28
"Sirtinol | 100.0",False,False,False,2960.77,10411.5
"Sirtinol | 1000.0",False,False,False,5154.61,30229.9
"Sirtinol | 10000.0",True,False,False,-499.896,6422.95
"Sodium Phenylbutyrate | 10.0",False,False,False,926.108,8290.66
"Sodium Phenylbutyrate | 100.0",False,False,False,627.96,8498.9
"Sodium Phenylbutyrate | 1000.0",False,False,False,117.506,11273.1
"Sodium Phenylbutyrate | 10000.0",False,False,False,-54.8443,6691.03
"Sorafenib Tosylate | 10.0",False,False,False,3796.6,12812.9
"Sorafenib Tosylate | 100.0",False,False,False,900.42,9366.06
"Sorafenib Tosylate | 1000.0",False,False,False,4804.06,16973.4
"Streptozotocin (STZ) | 10.0",False,False,False,1374.65,11144.6
"Streptozotocin (STZ) | 100.0",False,False,False,-883.159,5882.34
"Streptozotocin (STZ) | 1000.0",False,False,False,299.818,6123
"Streptozotocin (STZ) | 10000.0",False,False,False,-51.1152,5220.57
"TAK-901 | 10.0",False,False,False,497.775,6905.74
"TG101209 | 10.0",False,False,False,-354.252,8258.91
"TG101209 | 100.0",False,False,False,-1068,5386.38
"TG101209 | 1000.0",False,False,False,1066.66,10875.2
"TGX-221 | 10.0",False,False,False,723.241,10273.4
"TGX-221 | 100.0",False,False,False,-1057.15,3843.06
"TGX-221 | 1000.0",False,False,False,-1019.47,3529.94
"TGX-221 | 10000.0",False,False,False,-222.386,5309.52
"Tacedinaline (CI994) | 10.0",False,False,False,866.313,8396.75
"Tacedinaline (CI994) | 100.0",False,False,False,174.554,7476.52
"Tacedinaline (CI994) | 1000.0",False,False,False,855.897,11218.5
