method,split,gene,metric,n_test,obs_pds,null_mean,null_lo,null_hi,p_above_obs
GBoost-theta,split2,TP53,PDS_L1,49,0.5166,0.4991,0.4464,0.5519,0.271
GBoost-theta,split2,TP53,PDS_L2,49,0.5038,0.4984,0.4473,0.5481,0.405
GBoost-esm,split2,TP53,PDS_cos,49,0.4928,0.501,0.446,0.551,0.622
GBoost-esm,split2,TP53,PDS_L1,49,0.4987,0.4997,0.4498,0.554,0.53
GBoost-esm,split2,TP53,PDS_L2,49,0.4957,0.5002,0.4507,0.5502,0.573
GBoost-esm+theta,split2,TP53,PDS_cos,49,0.5021,0.5012,0.4528,0.5553,0.485
GBoost-esm+theta,split2,TP53,PDS_L1,49,0.5038,0.5011,0.4494,0.5548,0.443
GBoost-esm+theta,split2,TP53,PDS_L2,49,0.4983,0.5007,0.4519,0.551,0.536
KNN-theta,split2,TP53,PDS_cos,49,0.4945,0.5001,0.4498,0.5451,0.596
KNN-theta,split2,TP53,PDS_L1,49,0.5102,0.5003,0.4511,0.5519,0.349
KNN-theta,split2,TP53,PDS_L2,49,0.5017,0.4986,0.452,0.5498,0.443
KNN-esm,split2,TP53,PDS_cos,49,0.4626,0.5004,0.4494,0.5528,0.923
KNN-esm,split2,TP53,PDS_L1,49,0.4787,0.5003,0.4528,0.5514,0.799
KNN-esm,split2,TP53,PDS_L2,49,0.4715,0.5013,0.4541,0.5476,0.887
KNN-esm+theta,split2,TP53,PDS_cos,49,0.5026,0.5005,0.4532,0.5459,0.464
KNN-esm+theta,split2,TP53,PDS_L1,49,0.5225,0.5012,0.4494,0.5527,0.223
KNN-esm+theta,split2,TP53,PDS_L2,49,0.5123,0.4987,0.4494,0.5442,0.286
MLP-theta,split2,TP53,PDS_cos,49,0.5149,0.4999,0.4817,0.5191,0.065
MLP-theta,split2,TP53,PDS_L1,49,0.5085,0.4997,0.4766,0.523,0.236
MLP-theta,split2,TP53,PDS_L2,49,0.5128,0.5006,0.48,0.5221,0.14
