perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"NVP-BSK805 2HCl | 10.0",False,False,False,-339.594,2056.43
"NVP-BSK805 2HCl | 100.0",False,False,False,2400.03,12561.1
"NVP-BSK805 2HCl | 1000.0",False,False,False,145.013,2980.57
"Navitoclax (ABT-263) | 10.0",False,False,False,-586.725,1340.84
"Navitoclax (ABT-263) | 100.0",False,False,False,-484.282,1982.82
"Navitoclax (ABT-263) | 1000.0",False,False,False,73.7081,2971.62
"Nilotinib (AMN-107) | 10.0",True,False,False,150.613,4948.38
"Nintedanib (BIBF 1120) | 10.0",False,False,False,496.097,4067.21
"Nintedanib (BIBF 1120) | 100.0",False,False,False,818.645,5546.94
"Obatoclax Mesylate (GX15-070) | 10.0",False,False,False,1085.71,3392.39
"Obatoclax Mesylate (GX15-070) | 100.0",False,False,False,906.894,3805.24
"Obatoclax Mesylate (GX15-070) | 1000.0",True,False,False,-502.633,1496.38
"Ofloxacin | 10.0",False,False,False,692.307,5469.17
"Ofloxacin | 100.0",False,False,False,-505.312,2379.36
"Ofloxacin | 1000.0",False,False,False,1668.28,9358.86
"Ofloxacin | 10000.0",False,False,False,84.7472,3140.42
"PCI-34051 | 10.0",False,False,False,-700.899,2283.83
"PCI-34051 | 100.0",False,False,False,850.456,7109.39
"PCI-34051 | 1000.0",False,False,False,608.739,3336.88
"PD173074 | 10.0",False,False,False,923.474,3357.65
"PD173074 | 100.0",False,False,False,1543.2,10348.8
"PD173074 | 1000.0",False,False,False,-368.783,1830.4
"PD173074 | 10000.0",True,False,False,520.653,5546.35
"PD98059 | 10.0",False,False,False,2070.72,11493.3
"PD98059 | 100.0",False,False,False,-311.257,1653.4
"PD98059 | 1000.0",False,False,False,2516.83,10816.4
"PD98059 | 10000.0",False,False,False,-135.844,3281.15
"PF-3845 | 10.0",False,False,False,720.412,6341.01
"PF-3845 | 100.0",False,False,False,117.345,3771.13
"PF-3845 | 1000.0",False,False,False,-363.883,2917.42
"PF-3845 | 10000.0",False,False,False,-317.739,2125.01
"PF-573228 | 100.0",False,False,False,-501.809,1467.37
"PF-573228 | 1000.0",False,False,False,328.894,5115.97
"PF-573228 | 10000.0",True,False,False,2492.77,6695.09
"PFI-1 (PF-6405761) | 10.0",False,False,False,-377.741,2409.67
"PFI-1 (PF-6405761) | 100.0",False,False,False,-190.03,2257.47
"PFI-1 (PF-6405761) | 1000.0",False,False,False,30.2151,5288.35
"PHA-680632 | 10.0",False,False,False,-423.688,1286.74
"PHA-680632 | 100.0",False,False,False,-496.571,2176.27
"PJ34 | 10.0",False,False,False,-319.742,2851.79
"PJ34 | 100.0",False,False,False,495.77,6150.41
"PJ34 | 1000.0",False,False,False,882.907,4623.16
"PJ34 | 10000.0",False,False,False,1578,9684.49
"Pelitinib (EKB-569) | 10.0",False,False,False,-75.009,3445.07
"Pelitinib (EKB-569) | 100.0",False,False,False,-185.017,2916.02
"Pelitinib (EKB-569) | 1000.0",False,False,False,214.679,5334.64
"Pirarubicin | 10.0",False,False,False,427.341,5310.88
"Pirarubicin | 100.0",False,False,False,-322.723,1635.26
"Pirarubicin | 1000.0",True,False,False,4983.68,12337.6
"Pracinostat (SB939) | 10.0",False,False,False,-342.192,2197.05
"Pracinostat (SB939) | 100.0",False,False,False,39.7416,4368.43
"Prednisone  | 10.0",False,False,False,1952.75,9219.4
"Prednisone  | 100.0",False,False,False,332.525,2099.66
"Prednisone  | 1000.0",False,False,False,264.978,3727.95
"Prednisone  | 10000.0",False,False,False,-742.221,569.334
"Quercetin | 10.0",False,False,False,-9.48064,4963.91
"Quercetin | 100.0",False,False,False,-238.066,1730.47
"Quercetin | 1000.0",False,False,False,-561.74,2874.4
"Quercetin | 10000.0",False,False,False,-6.64795,3258.34
"RG108 | 10.0",False,False,False,2051.21,13386.9
"RG108 | 100.0",False,False,False,-73.1732,2748.38
"RG108 | 1000.0",False,False,False,-291.19,2150.89
"RG108 | 10000.0",False,False,False,-303.079,1848.96
"Raltitrexed | 1000.0",False,False,False,588.271,5586.82
"Raltitrexed | 10000.0",False,False,False,833.179,4515.75
"Ramelteon | 10.0",False,False,False,-460.908,3378.06
"Ramelteon | 100.0",False,False,False,29.2017,4097.89
"Ramelteon | 1000.0",False,False,False,-633.919,1892.16
"Ramelteon | 10000.0",False,False,False,404.49,6716.41
"Regorafenib (BAY 73-4506) | 10.0",False,False,False,-157.26,1849.26
"Regorafenib (BAY 73-4506) | 100.0",False,False,False,1125.94,6720.84
"Regorafenib (BAY 73-4506) | 1000.0",False,False,False,716.816,4761.96
"Resminostat | 10.0",False,False,False,700.033,5062.44
"Resminostat | 100.0",False,False,False,728.936,4674.41
"Resminostat | 1000.0",False,False,False,369.978,3621.07
"Resveratrol | 10.0",False,False,False,-147.635,3364.17
"Resveratrol | 100.0",False,False,False,1109.14,8094.28
"Resveratrol | 1000.0",False,False,False,144.095,3659.77
"Resveratrol | 10000.0",False,False,False,736.951,5492.88
"Rigosertib (ON-01910) | 10.0",False,False,False,796.321,5326.15
"Roscovitine (Seliciclib,CYC202) | 10.0",False,False,False,-736.617,1084.55
"Roscovitine (Seliciclib,CYC202) | 100.0",False,False,False,528.488,2851.19
"Roscovitine (Seliciclib,CYC202) | 1000.0",False,False,False,1449.28,7380.61
