perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"PCI-34051 | 1000.0",True,False,False,5756.45,29679.6
"PD173074 | 10.0",False,False,False,7955.65,40003.4
"PD173074 | 100.0",False,False,False,5510.84,27832.3
"PD98059 | 10.0",False,False,False,-3451.93,8958.39
"PD98059 | 100.0",False,False,False,560.626,34469.4
"PD98059 | 1000.0",False,False,False,388.045,18025.8
"PD98059 | 10000.0",False,False,False,5444.88,49062.1
"PF-3845 | 10.0",False,False,False,7268.52,22561.9
"PF-3845 | 100.0",False,False,False,2285.6,28365.5
"PF-3845 | 10000.0",False,False,False,1163.7,14485.7
"PF-573228 | 10.0",False,False,False,14334.5,76938.7
"PF-573228 | 100.0",False,False,False,922.831,27398.3
"PF-573228 | 1000.0",False,False,False,5048.38,31638.9
"PFI-1 (PF-6405761) | 10.0",False,False,False,4322.24,35420.3
"PFI-1 (PF-6405761) | 100.0",False,False,False,1742.13,32724.2
"PFI-1 (PF-6405761) | 1000.0",False,False,False,4837.83,36653
"PFI-1 (PF-6405761) | 10000.0",False,False,False,-328.556,18342.5
"PHA-680632 | 10.0",False,False,False,7672.95,37770.6
"PHA-680632 | 1000.0",False,False,False,-851.954,14341.1
"PJ34 | 10.0",False,False,False,3141.96,24249.8
"PJ34 | 100.0",False,False,False,1668.06,26208.7
"PJ34 | 1000.0",False,False,False,760.401,22920.4
"PJ34 | 10000.0",False,False,False,-2839.72,14684.4
"Panobinostat (LBH589) | 100.0",True,False,False,-2533.07,8313.79
"Panobinostat (LBH589) | 1000.0",False,False,False,-4416.24,9550.7
"Panobinostat (LBH589) | 10000.0",True,False,False,-4937.78,4751.53
"Pelitinib (EKB-569) | 10.0",False,False,False,13401.1,43567
"Pelitinib (EKB-569) | 100.0",False,False,False,429.352,27209.5
"Pelitinib (EKB-569) | 1000.0",False,False,False,-3212.42,14032.2
"Pirarubicin | 10.0",False,False,False,2498.28,30167.5
"Pirarubicin | 100.0",False,False,False,16933.3,79532.6
"Pirarubicin | 1000.0",False,False,False,4633.86,42485.8
"Pracinostat (SB939) | 10.0",False,False,False,2339.75,22731.1
"Pracinostat (SB939) | 100.0",True,False,False,11.4499,24373
"Pracinostat (SB939) | 1000.0",False,False,False,2883.12,26232.9
"Pracinostat (SB939) | 10000.0",True,False,False,-4695.55,6055.11
"Prednisone  | 10.0",False,False,False,16664.5,50247.1
"Prednisone  | 100.0",False,False,False,220.783,12225
"Prednisone  | 10000.0",False,False,False,-3458.83,11509
"Quercetin | 10.0",False,False,False,160.416,28152.5
"Quercetin | 100.0",False,False,False,358.668,16195.3
"Quercetin | 1000.0",False,False,False,2448.32,27107.1
"Quercetin | 10000.0",False,False,False,-528.412,13550.9
"Quisinostat (JNJ-26481585) 2HCl | 1000.0",True,False,False,-1966.04,17473.6
"Quisinostat (JNJ-26481585) 2HCl | 10000.0",True,False,False,-4171.78,7312.62
"RG108 | 10.0",False,False,False,-929.986,18411.2
"RG108 | 100.0",False,False,False,4193.41,44057.1
"RG108 | 1000.0",False,False,False,6611.05,29105.3
"RG108 | 10000.0",False,False,False,-859.09,15193.5
"Ramelteon | 100.0",False,False,False,913.636,18396.1
"Ramelteon | 10000.0",False,False,False,-165.308,23592.2
"Regorafenib (BAY 73-4506) | 10.0",False,False,False,-355.206,14795.6
"Regorafenib (BAY 73-4506) | 100.0",False,False,False,3131.45,35737
"Regorafenib (BAY 73-4506) | 1000.0",False,False,False,-2323.34,13568.4
"Resminostat | 10.0",False,False,False,-1090.08,9424.12
"Resminostat | 100.0",False,False,False,1335.84,17552.3
"Resminostat | 1000.0",False,False,False,-713.256,15914.9
"Resminostat | 10000.0",False,False,False,-2988.38,9863.13
"Resveratrol | 10.0",False,False,False,140.225,26135.9
"Resveratrol | 100.0",False,False,False,1458.1,23662.9
"Resveratrol | 1000.0",False,False,False,1190.81,23517.8
"Resveratrol | 10000.0",False,False,False,1094.21,12057.9
"Rigosertib (ON-01910) | 10.0",False,False,False,5556.31,23558.3
"Roscovitine (Seliciclib,CYC202) | 10.0",False,False,False,7264.91,22890.9
"Roxadustat (FG-4592) | 10.0",False,False,False,-884.878,21334.6
"Roxadustat (FG-4592) | 100.0",False,False,False,-2625.32,11559.4
"Roxadustat (FG-4592) | 1000.0",False,False,False,10495.2,58457.5
"Roxadustat (FG-4592) | 10000.0",False,False,False,1907.2,25322.3
"Rucaparib (AG-014699,PF-01367338) phosphate | 10.0",False,False,False,978.861,26076.6
"Rucaparib (AG-014699,PF-01367338) phosphate | 10000.0",False,False,False,-2679.04,12574.4
